"Name","Year","College_Completion_Rate"
"Ohio","1990_Urban",0.186758801976625
"Oklahoma","1990_Urban",0.200169303578147
"Oregon","1990_Urban",0.223422843201649
"Pennsylvania","1990_Urban",0.189953168439816
"Rhode Island","1990_Urban",0.212700089232058
"South Carolina","1990_Urban",0.178903268340645
"South Dakota","1990_Urban",0.196985936343449
"Tennessee","1990_Urban",0.183095466543817
"Texas","1990_Urban",0.219552880190577
"Utah","1990_Urban",0.230848835218403
"Vermont","1990_Urban",0.290466456049062
"Virginia","1990_Urban",0.274074471636005
"Washington","1990_Urban",0.237261645160908
"West Virginia","1990_Urban",0.143317013410719
"Wisconsin","1990_Urban",0.197622451631656
"Wyoming","1990_Urban",0.205376126955468
"Puerto Rico","1990_Urban",NA
"United States","2000_Urban",0.262235259129116
"Alabama","2000_Urban",0.217079740897292
"Alaska","2000_Urban",0.265576351577414
"Arizona","2000_Urban",0.242077973869263
"Arkansas","2000_Urban",0.20193074276178
"California","2000_Urban",0.268459779703228
"Colorado","2000_Urban",0.340332482874466
"Connecticut","2000_Urban",0.316388508664805
"Delaware","2000_Urban",0.250490617069977
"District of Columbia","2000_Urban",0.390697855851873
"Florida","2000_Urban",0.227726585456309
"Georgia","2000_Urban",0.272028457000642
"Hawaii","2000_Urban",0.27165612699862
"Idaho","2000_Urban",0.238540600703688
"Illinois","2000_Urban",0.279500641167003
"Indiana","2000_Urban",0.218123570603754
"Iowa","2000_Urban",0.262544728881054
"Kansas","2000_Urban",0.306144299770487
"Kentucky","2000_Urban",0.218181035184007
"Louisiana","2000_Urban",0.201477577706062
"Maine","2000_Urban",0.254360237367264
"Maryland","2000_Urban",0.318524424042908
"Massachusetts","2000_Urban",0.332160224035032
"Michigan","2000_Urban",0.232728215995842
"Minnesota","2000_Urban",0.311481346572676
"Mississippi","2000_Urban",0.206996684392964
"Missouri","2000_Urban",0.248864054417274
"Montana","2000_Urban",0.268535782632866
"Nebraska","2000_Urban",0.285791877933535
"Nevada","2000_Urban",0.185914036856116
"New Hampshire","2000_Urban",0.301641738597838
"New Jersey","2000_Urban",0.297794425005201
"New Mexico","2000_Urban",0.27036074129759
"New York","2000_Urban",0.282484033641547
"North Carolina","2000_Urban",0.25266539552526
"North Dakota","2000_Urban",0.281829461053419
"Ohio","2000_Urban",0.233375924335758
"Oklahoma","2000_Urban",0.226638939501582
"Oregon","2000_Urban",0.271678284229186
"Pennsylvania","2000_Urban",0.237070196555667
"Rhode Island","2000_Urban",0.256009087597704
"South Carolina","2000_Urban",0.218982437687031
"South Dakota","2000_Urban",0.24518562145201
"Tennessee","2000_Urban",0.224210123588306
"Texas","2000_Urban",0.248729962355903
"Utah","2000_Urban",0.268039796862316
"Vermont","2000_Urban",0.348414899316169
"Virginia","2000_Urban",0.32618672659634
"Washington","2000_Urban",0.286776551548243
"West Virginia","2000_Urban",0.170535473218199
"Wisconsin","2000_Urban",0.250459965724523
"Wyoming","2000_Urban",0.219191824195116
"Puerto Rico","2000_Urban",0.18521259486012
"United States","2013-2017_Urban",0.329180559381385
"Alabama","2013-2017_Urban",0.275561400788464
"Alaska","2013-2017_Urban",0.314467066394325
"Arizona","2013-2017_Urban",0.291150583511807
"Arkansas","2013-2017_Urban",0.262145550256121
"California","2013-2017_Urban",0.328004990657112
"Colorado","2013-2017_Urban",0.407648976611868
"Connecticut","2013-2017_Urban",0.386302197078153
"Delaware","2013-2017_Urban",0.309680142431777
"District of Columbia","2013-2017_Urban",0.565924372649594
"Florida","2013-2017_Urban",0.289582650769184
"Georgia","2013-2017_Urban",0.329603458683725
"Hawaii","2013-2017_Urban",0.328738191234469
"Idaho","2013-2017_Urban",0.289428010760665
"Illinois","2013-2017_Urban",0.355604543638904
"Indiana","2013-2017_Urban",0.280064843914982
"Iowa","2013-2017_Urban",0.332632556016026
"Kansas","2013-2017_Urban",0.376006824865154
"Kentucky","2013-2017_Urban",0.287099151315383
"Louisiana","2013-2017_Urban",0.250645974901465
"Maine","2013-2017_Urban",0.342237231531681
"Maryland","2013-2017_Urban",0.393646814540272
"Massachusetts","2013-2017_Urban",0.42131540232108
"Michigan","2013-2017_Urban",0.298825386384131
"Minnesota","2013-2017_Urban",0.387067937080204
"Mississippi","2013-2017_Urban",0.255636189862304
"Missouri","2013-2017_Urban",0.322031593046895
"Montana","2013-2017_Urban",0.333656020695378
"Nebraska","2013-2017_Urban",0.356767324273724
"Nevada","2013-2017_Urban",0.243670075250125
"New Hampshire","2013-2017_Urban",0.379249956261171
"New Jersey","2013-2017_Urban",0.38091347419788
"New Mexico","2013-2017_Urban",0.304373033230157
"New York","2013-2017_Urban",0.363076546707376
"North Carolina","2013-2017_Urban",0.330930872202587
"North Dakota","2013-2017_Urban",0.353155127642065
"Ohio","2013-2017_Urban",0.29965307236572
"Oklahoma","2013-2017_Urban",0.275794492001859
"Oregon","2013-2017_Urban",0.348508436066815
"Pennsylvania","2013-2017_Urban",0.317692990003991
"Rhode Island","2013-2017_Urban",0.329643296432964
"South Carolina","2013-2017_Urban",0.287329327380194
"South Dakota","2013-2017_Urban",0.309191359275151
"Tennessee","2013-2017_Urban",0.293837049553451
"Texas","2013-2017_Urban",0.303112265571915
"Utah","2013-2017_Urban",0.333159444363483
"Vermont","2013-2017_Urban",0.433830101224252
"Virginia","2013-2017_Urban",0.406311097001741
"Washington","2013-2017_Urban",0.35620456635284
"West Virginia","2013-2017_Urban",0.224905387672822
"Wisconsin","2013-2017_Urban",0.320608581087035
"Wyoming","2013-2017_Urban",0.26003880052849
"Puerto Rico","2013-2017_Urban",0.251864408260628
"United States","1970_Rural",0.0672646376562793
"Alabama","1970_Rural",0.0529988744785625
"Alaska","1970_Rural",0.134660633484163
"Arizona","1970_Rural",0.0747452703599392
"Arkansas","1970_Rural",0.0509748407679045
"California","1970_Rural",0.0868783042882318
"Colorado","1970_Rural",0.0914621942921186
"Connecticut","1970_Rural",0.119545537395954
"Delaware","1970_Rural",NA
"District of Columbia","1970_Rural",NA
"Florida","1970_Rural",0.0622301721377544
"Georgia","1970_Rural",0.0527472563547846
"Hawaii","1970_Rural",0.0743377061395768
"Idaho","1970_Rural",0.0858797718297499
"Illinois","1970_Rural",0.0606613529037519
"Indiana","1970_Rural",0.0580634905584079
"Iowa","1970_Rural",0.0690013923966703
"Kansas","1970_Rural",0.0864704900745959
"Kentucky","1970_Rural",0.0515878655087862
"Louisiana","1970_Rural",0.0629177572668412
"Maine","1970_Rural",0.0725560549099325
"Maryland","1970_Rural",0.0651993290379219
"Massachusetts","1970_Rural",0.107855392769638
"Michigan","1970_Rural",0.0676961036232357
"Minnesota","1970_Rural",0.0667353483603201
"Mississippi","1970_Rural",0.0695496229987196
"Missouri","1970_Rural",0.0579280455001368
"Montana","1970_Rural",0.0951790723465327
"Nebraska","1970_Rural",0.0671382348891643
"Nevada","1970_Rural",0.0817461615760323
"New Hampshire","1970_Rural",0.105910557314944
"New Jersey","1970_Rural",NA
"New Mexico","1970_Rural",0.101008666634124
"New York","1970_Rural",0.0831301607906116
"North Carolina","1970_Rural",0.0575674614693129
"North Dakota","1970_Rural",0.0635636087726271
"Ohio","1970_Rural",0.0606741713169842
"Oklahoma","1970_Rural",0.0823582677724333
"Oregon","1970_Rural",0.0810746366671097
"Pennsylvania","1970_Rural",0.055277539517216
"Rhode Island","1970_Rural",NA
"South Carolina","1970_Rural",0.068426032422698
"South Dakota","1970_Rural",0.0817894185437402
"Tennessee","1970_Rural",0.0450247979493585
"Texas","1970_Rural",0.0693063838724983
"Utah","1970_Rural",0.0937540537034635
"Vermont","1970_Rural",0.103861850195142
"Virginia","1970_Rural",0.0516401071090357
"Washington","1970_Rural",0.100632122042707
"West Virginia","1970_Rural",0.054475948541295
"Wisconsin","1970_Rural",0.067285269114199
"Wyoming","1970_Rural",0.111255143344596
"Puerto Rico","1970_Rural",NA
"United States","1980_Rural",0.104971964918879
"Alabama","1980_Rural",0.0820436839841323
"Alaska","1980_Rural",0.188858152985903
"Arizona","1980_Rural",0.103254055513763
"Arkansas","1980_Rural",0.0825257777873336
"California","1980_Rural",0.145792456790987
"Colorado","1980_Rural",0.172372246821611
"Connecticut","1980_Rural",0.186152376694373
"Delaware","1980_Rural",NA
"District of Columbia","1980_Rural",NA
"Florida","1980_Rural",0.0892200524867756
"Georgia","1980_Rural",0.0853263724583915
"Hawaii","1980_Rural",0.153199463827904
"Idaho","1980_Rural",0.139575518218131
"Illinois","1980_Rural",0.0949050836830125
"Indiana","1980_Rural",0.0869814654084566
"Iowa","1980_Rural",0.106662087755886
"Kansas","1980_Rural",0.126047989793203
"Kentucky","1980_Rural",0.0786942011581727
"Louisiana","1980_Rural",0.093206264850916
"Maine","1980_Rural",0.131796269688872
"Maryland","1980_Rural",0.111100842333184
"Massachusetts","1980_Rural",0.196505495390314
"Michigan","1980_Rural",0.108000715747565
"Minnesota","1980_Rural",0.107781282860147
"Mississippi","1980_Rural",0.105126840226807
"Missouri","1980_Rural",0.0857939021841169
"Montana","1980_Rural",0.161240940188309
"Nebraska","1980_Rural",0.113694812809898
"Nevada","1980_Rural",0.120911734132783
"New Hampshire","1980_Rural",0.176642270014638
"New Jersey","1980_Rural",NA
"New Mexico","1980_Rural",0.134531303731464
"New York","1980_Rural",0.120478826579309
"North Carolina","1980_Rural",0.0909909005041297
"North Dakota","1980_Rural",0.115952773085882
"Ohio","1980_Rural",0.0918312994090107
"Oklahoma","1980_Rural",0.123541423570595
"Oregon","1980_Rural",0.121893399024805
"Pennsylvania","1980_Rural",0.086024549510066
"Rhode Island","1980_Rural",NA
"South Carolina","1980_Rural",0.0994479578319597
"South Dakota","1980_Rural",0.130068538492946
"Tennessee","1980_Rural",0.0738211542049924
"Texas","1980_Rural",0.101643659307215
"Utah","1980_Rural",0.141019212799417
"Vermont","1980_Rural",0.178224887868003
"Virginia","1980_Rural",0.0805610258414636
"Washington","1980_Rural",0.147016740088106
"West Virginia","1980_Rural",0.0837280334728033
"Wisconsin","1980_Rural",0.107947616426233
"Wyoming","1980_Rural",0.16463700366412
"Puerto Rico","1980_Rural",NA
"United States","1990_Rural",0.122835726034198
"Alabama","1990_Rural",0.0977911608372773
"Alaska","1990_Rural",0.191535688800249
"Arizona","1990_Rural",0.097785189285389
"Arkansas","1990_Rural",0.0982756422884823
"California","1990_Rural",0.156152416512487
"Colorado","1990_Rural",0.197881087405145
"Connecticut","1990_Rural",0.249991565167516
"Delaware","1990_Rural",NA
"District of Columbia","1990_Rural",NA
"Florida","1990_Rural",0.107578926681359
"Georgia","1990_Rural",0.10128331409908
