person,county_num,case_year,dob_year,race,sex,court_action,amountpaid,amountdue,probation,imposed,total,suspended,atty
2020,31,2007,1971,B,M,guilty plea,998,1487,0,0,36,36,A-APPOINTED
2021,1,2005,1970,B,M,guilty plea,0,372,0,48,240,192,A-APPOINTED
2022,11,2005,1972,W,M,guilty plea,1574,4185,0,3,60,60,A-APPOINTED
2023,38,2007,1953,B,F,guilty plea,0,1757,0,12,60,48,NA
2024,54,2010,1971,W,M,guilty plea,0,3456,0,192,192,0,A-APPOINTED
2025,5,2006,1963,W,M,guilty plea,0,650.5,0,240,240,0,NA
2026,10,2010,1978,B,F,guilty plea,500,3540,0,0,32,32,A-APPOINTED
2027,70,2009,1988,W,F,guilty plea,275,1577,0,24,24,24,A-APPOINTED
2028,3,2005,1962,W,M,guilty plea,3690,7690,36,36,240,204,A-APPOINTED
2029,71,2009,1989,W,M,guilty plea,190,1852,0,0,24,24,A-APPOINTED
2030,11,2006,1980,B,M,guilty plea,0,2842,0,120,120,0,A-APPOINTED
2031,30,2008,1979,B,M,guilty plea,0,6381,0,0,120,120,A-APPOINTED
2032,2,2005,1978,W,M,guilty plea,0,1409,0,12,12,0,A-APPOINTED
2033,11,2009,1969,B,F,guilty plea,0,0,0,0,120,120,A-APPOINTED
2034,11,2009,1970,W,M,guilty plea,0,1772,0,0,14,14,A-APPOINTED
2035,47,2008,1987,B,M,guilty plea,0,1067,0,120,120,0,A-APPOINTED
2036,2,2009,1984,B,M,guilty plea,0,1881,0,0,24,24,A-APPOINTED
2037,14,2011,1981,B,M,guilty plea,270,2324,0,0,60,60,A-APPOINTED
2038,3,2009,1975,B,F,guilty plea,0,1312,0,0,24,24,A-APPOINTED; R-RETAINED
2039,3,2005,1978,B,M,guilty plea,0,861.9,0,36,180,144,A-APPOINTED
2040,1,2008,1983,W,F,guilty plea,497.8,497.8,0,12,12,12,A-APPOINTED
2041,63,2005,1949,W,M,guilty plea,1240,1911,24,0,18,18,A-APPOINTED
2042,75,2006,1980,W,M,guilty plea,1131,3680,0,7,60,60,R-RETAINED
2043,42,2008,1974,B,M,guilty plea,555,3785,0,60,60,0,A-APPOINTED
2044,52,2009,1953,B,M,guilty plea,0,1302,0,36,36,0,R-RETAINED
2045,47,2006,1974,W,M,guilty plea,3021,3021,0,6,12,12,A-APPOINTED
2046,71,2008,1983,B,M,convicted,0,847,0,1020,1020,0,A-APPOINTED
2047,62,2009,1972,W,F,guilty plea,85,5739,0,24,24,24,A-APPOINTED
2048,1,2008,1986,B,M,guilty plea,1894,4903,0,240,240,180,R-RETAINED; A-APPOINTED
2049,57,2008,1980,B,M,guilty plea,0,6000,0,48,48,0,A-APPOINTED
2050,23,2009,1978,W,M,guilty plea,16.66,2584,0,180,180,165,A-APPOINTED
2051,23,2005,1979,U,M,guilty plea,0,4704,0,36,240,204,R-RETAINED
2052,14,2010,1979,W,F,guilty plea,1604,1604,0,0,24,24,R-RETAINED
2053,31,2009,1963,W,M,guilty plea,4273,4273,0,0,144,144,R-RETAINED
2054,2,2011,1983,W,M,guilty plea,252.07,885.08,0,48,240,192,A-APPOINTED
2055,63,2005,1986,B,M,guilty plea,0,447.2,0,240,240,204,A-APPOINTED
2056,41,2011,1983,W,M,guilty plea,3681,4581,0,123,123,0,A-APPOINTED
2057,2,2007,1967,B,M,guilty plea,0,2034,0,4,48,48,A-APPOINTED
2058,3,2009,1965,B,M,guilty plea,50,3628,0,0,36,36,A-APPOINTED
2059,50,2005,1964,W,F,guilty plea,456.5,656.5,0,0,24,24,A-APPOINTED
2061,61,2009,1986,B,M,guilty plea,0,2456,0,60,60,0,A-APPOINTED
2062,28,2005,1984,W,M,guilty plea,300,3784,0,120,120,0,A-APPOINTED
2063,10,2010,1980,B,M,guilty plea,0,962.5,0,8,31,23,A-APPOINTED
2064,19,2010,1976,B,M,guilty plea,0,2118,0,60,60,60,A-APPOINTED
2065,58,2011,1969,W,M,guilty plea,0,955,0,12,1378,1360,P-PUBLIC
2066,5,2011,1986,B,M,guilty plea,553.5,3091,0,0,180,180,NA
2067,2,2008,1961,W,F,guilty plea,0,2002,0,0,60,60,A-APPOINTED
2068,11,2006,1985,W,M,guilty plea,0,881,0,120,120,120,A-APPOINTED
2069,2,2007,1972,W,M,guilty plea,303,303,0,12,120,108,A-APPOINTED
2070,11,2010,1970,W,F,guilty plea,0,919.1,0,24,24,24,A-APPOINTED
2071,33,2007,1981,W,M,guilty plea,0,4285,0,120,120,108,A-APPOINTED
2072,63,2010,1965,B,M,guilty plea,0,510.9,0,240,240,0,A-APPOINTED
2073,61,2007,1978,W,F,guilty plea,3720,3720,0,0,23,23,A-APPOINTED
2074,1,2006,1961,B,M,guilty plea,0,364,0,42,240,204,A-APPOINTED
2075,61,2005,1972,W,M,guilty plea,0,565,0,24,180,156,A-APPOINTED
2076,34,2010,1963,W,M,guilty plea,0,2256,36,0,62,62,A-APPOINTED
2077,2,2010,1990,B,M,guilty plea,824.2,824.2,0,0,120,120,R-RETAINED
2078,55,2011,1984,B,M,guilty plea,0,3225,0,104,104,0,A-APPOINTED
2079,11,2011,1985,B,M,guilty plea,308,3723,0,32,32,32,A-APPOINTED
2080,48,2007,1952,B,M,guilty plea,1360,1596,0,0,60,60,A-APPOINTED
2081,1,2008,1977,B,M,guilty plea,159,3442,0,24,24,24,A-APPOINTED
2082,18,2008,1976,W,M,guilty plea,1630,1630,0,13,13,0,R-RETAINED
2083,3,2010,1980,W,M,guilty plea,488,488,24,36,120,84,R-RETAINED
2084,11,2009,1979,W,M,guilty plea,1573,1573,0,0,240,240,NA
2085,68,2008,1957,B,M,guilty plea,527.4,917.8,0,0,24,24,A-APPOINTED
2086,20,2011,1983,W,M,guilty plea,1500,1945,0,36,36,0,R-RETAINED
2087,11,2005,1965,B,M,guilty plea,530,2500,0,96,96,96,R-RETAINED
2088,22,2009,1977,W,M,guilty plea,100,2452,0,120,120,0,A-APPOINTED
2089,2,2007,1985,B,M,guilty plea,1171,1996,0,0,36,36,R-RETAINED
2090,52,2011,1966,W,F,guilty plea,0,2228,0,60,180,120,A-APPOINTED
2091,47,2008,1958,W,M,guilty plea,0,1571,0,180,180,0,A-APPOINTED
2092,4,2005,1972,W,M,guilty plea,900,3694,0,60,60,0,A-APPOINTED
2093,12,2005,1976,B,M,guilty plea,510.96,3535,0,24,24,24,NA
2094,2,2009,1990,B,M,guilty plea,0,439,0,18,96,96,A-APPOINTED
2095,25,2011,1972,W,M,guilty plea,0,47,0,10,24,24,A-APPOINTED
2096,1,2011,1980,B,M,guilty plea,175,819.8,0,0,120,120,A-APPOINTED
2097,47,2005,1979,B,F,guilty plea,1310,5926,0,60,60,36,A-APPOINTED
2098,27,2007,1968,B,F,guilty plea,9924,163642,0,24,144,120,R-RETAINED
2099,2,2011,1973,B,M,guilty plea,482,1278,0,36,180,144,A-APPOINTED
